,Buy Threshold,Sell Threshold,2023-06-08,2023-06-09,2023-06-12,2023-06-13,2023-06-14,2023-06-15,2023-06-16,2023-06-20,2023-06-21,2023-06-22,2023-06-23,Sum
817,0.21,0.16499999999999998,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
809,0.21,0.20500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
815,0.21,0.175,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
810,0.21,0.2,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
811,0.21,0.195,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
734,0.215,0.07999999999999999,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
735,0.215,0.07500000000000001,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
1230,0.19,0.1,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
736,0.215,0.07,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
737,0.215,0.065,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
821,0.21,0.14500000000000002,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
808,0.21,0.21,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
1327,0.185,0.11499999999999999,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
801,0.21,0.245,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
1307,0.185,0.215,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
1306,0.185,0.22,-1.3900000000000148,0.12999999999999545,-0.21000000000000796,-2.680000000000007,2.0,-1.0299999999999727,-0.18000000000000682,-1.4099999999999682,3.590000000000032,-5.759999999999991,-1.6800000000000637,-8.620000000000005
